dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,0.0,-0.07389111004469247,0.2,2.0778439157710067,0.6399999999999998,10.367953596682765,4.9,0.9,-1.1778439157710068,2024-01-01
2,0.0,0.045315229459438354,0.6800000000000004,2.7699865085513626,1.3799999999999997,12.100095454094962,11.3,4.6000000000000005,1.830013491448638,2024-01-02
3,0.0,0.1639270372465841,1.4600000000000002,3.458391975637039,1.8399999999999999,13.808340171597242,19.2,9.8,6.341608024362962,2024-01-03
4,0.0,0.28185066087797966,1.7,4.143165331455996,2.4,15.492173912089607,35.8,9.8,5.656834668544005,2024-01-04
5,0.0,0.3990204990753459,1.9600000000000002,4.824581603460283,3.059999999999999,17.151966664908397,38.9,18.9,14.075418396539716,2024-01-05
6,0.0,0.5154082411699763,2.46,5.503005979507186,3.3799999999999994,18.788925039034382,43.9,20.5,14.996994020492814,2024-01-06
7,0.4,0.6310329457323507,2.68,6.178866090508587,4.14,20.404924394385247,43.9,24.0,17.821133909491415,2024-01-07
8,0.4,0.7459402767248761,3.3000000000000007,6.852610250467796,4.84,22.002147304756893,45.6,24.2,17.347389749532205,2024-01-08
9,0.8,0.8601867452340434,3.96,7.524681596538798,6.679999999999998,23.583215364621076,46.5,24.2,16.6753184034612,2024-01-09
10,0.8,0.9738479801955703,4.08,8.19547935112268,6.8599999999999985,25.151174805784333,47.6,26.4,18.20452064887732,2024-01-10
11,1.1,1.0870182567950204,4.08,8.86529731234246,7.039999999999999,26.709535058557623,48.4,29.799999999999997,20.934702687657538,2024-01-11
12,1.2,1.1998380870287546,4.5200000000000005,9.534262783938091,7.459999999999999,28.262418208467984,51.3,30.099999999999998,20.565737216061905,2024-01-12
13,1.2,1.3125037631243537,5.660000000000001,10.202103540549519,8.179999999999998,29.814207227024237,54.199999999999996,35.699999999999996,25.497896459450477,2024-01-13
14,1.2,1.425195741240134,6.4,10.867021708694216,8.819999999999999,31.365175462175962,54.699999999999996,44.0,33.13297829130578,2024-01-14
15,1.3,1.5373375866092627,7.1000000000000005,11.521460586586372,9.98,32.887123264553225,55.4,45.1,33.57853941341363,2024-01-15
16,1.3,1.6336192118114399,7.980000000000001,12.134373803023337,10.319999999999999,34.02800739815162,56.8,45.6,33.465626196976665,2024-01-16
17,1.3,1.727716291711322,8.520000000000001,12.73852895381713,10.639999999999999,35.078589862083895,57.0,45.6,32.86147104618287,2024-01-17
18,1.3,1.8218809177844153,8.640000000000002,13.338149840231132,11.4,36.046039756799956,57.3,45.6,32.26185015976887,2024-01-18
19,1.3,1.9183299242356777,9.360000000000001,13.937793672039971,11.5,36.94126523941648,57.9,45.6,31.66220632796003,2024-01-19
20,1.4000000000000001,2.018593757106438,9.6,14.541479896237647,11.819999999999999,37.778201205483875,58.0,45.6,31.058520103762355,2024-01-20
21,1.4000000000000001,2.123280631049907,10.340000000000002,15.15299241144531,13.12,38.57219997549468,58.199999999999996,45.7,30.547007588554692,2024-01-21
22,1.4000000000000001,2.2319086823400816,11.16,15.775506853692828,14.759999999999998,39.33776362792204,59.199999999999996,45.8,30.02449314630717,2024-01-22
23,1.4000000000000001,2.3432849717663258,11.34,16.411385977349262,16.74,40.089387461127416,59.3,45.8,29.388614022650735,2024-01-23
24,1.4000000000000001,2.456115364336878,11.62,17.062144569861093,18.56,40.83780394815936,61.8,45.8,28.737855430138904,2024-01-24
25,1.5,2.5690887017033286,12.380000000000003,17.72883711515353,18.959999999999997,41.59381375589066,61.8,45.8,28.071162884846466,2024-01-25
26,1.6,2.6811492864460735,12.520000000000001,18.412207214019936,19.2,42.37435589551746,61.8,45.8,27.38779278598006,2024-01-26
27,2.1,2.7915432488289067,13.180000000000003,19.112247128192966,20.099999999999998,43.19863394577703,62.4,47.4,28.287752871807033,2024-01-27
28,2.4,2.8999972445326705,13.560000000000002,19.82770782342875,21.14,44.084921329615185,62.699999999999996,47.8,27.972292176571248,2024-01-28
29,2.4,3.006789179600754,13.88,20.55587486761444,22.919999999999998,45.04646727889634,63.0,47.8,27.24412513238556,2024-01-29
30,2.4,3.112406367463057,13.980000000000002,21.29316590333156,24.439999999999998,46.087217750240036,63.9,51.1,29.806834096668442,2024-01-30
31,2.4,3.217054851981185,13.980000000000002,22.035652863704886,24.779999999999998,47.20104134064899,76.8,56.6,34.56434713629511,2024-01-31
32,2.4,3.320181018371419,14.460000000000003,22.779837878607136,25.02,48.37560887446942,77.0,63.1,40.32016212139287,2024-02-01
33,2.4,3.4207714537340634,14.620000000000001,23.522628773776223,25.4,49.59504658918959,77.1,68.9,45.37737122622379,2024-02-02
34,2.4,3.5176139083622973,16.040000000000003,24.261397401374275,26.32,50.842313550557925,77.3,71.3,47.03860259862572,2024-02-03
35,2.4,3.6097357610666485,16.360000000000003,24.994448627905992,28.479999999999997,52.100341745149585,77.6,74.9,49.90555137209401,2024-02-04
36,2.4,3.6977429137458597,17.18,25.720801782826882,29.479999999999997,53.3533807471849,79.0,74.9,49.17919821717312,2024-02-05
37,2.4,3.784868742871716,17.48,26.439705159109348,30.32,54.58857298099008,79.2,76.1,49.66029484089064,2024-02-06
38,2.4,3.8751644571600443,17.52,27.15065340300113,31.259999999999998,55.79828673748849,79.4,85.9,58.749346596998876,2024-02-07
39,2.4,3.9722135778641667,17.560000000000002,27.852858773316477,31.559999999999995,56.981021024155076,79.5,101.9,74.04714122668352,2024-02-08
40,2.4,4.078566581053358,17.92,28.54521049832559,31.759999999999998,58.1406156433073,80.5,108.2,79.65478950167441,2024-02-09
41,2.4,4.195567981529742,18.0,29.22775144216015,34.66,59.28463494536707,81.0,112.4,83.17224855783985,2024-02-10
42,2.5,4.323416415997405,18.42,29.90266829015406,35.48,60.42696649847984,81.1,116.3,86.39733170984593,2024-02-11
43,2.6,4.46164133716425,18.62,30.573974156757455,36.46,61.58428157129243,82.1,116.3,85.72602584324254,2024-02-12
44,2.7,4.609584555360512,19.42,31.247237666165596,36.86,62.77060633566756,82.1,116.3,85.05276233383441,2024-02-13
45,2.7,4.766481162451141,21.160000000000004,31.929649133473216,36.98,63.99904035554482,83.0,118.1,86.17035086652677,2024-02-14
46,2.8000000000000003,4.930853109259166,21.760000000000005,32.62837444331053,36.98,65.27881445130616,88.1,118.1,85.47162555668947,2024-02-15
