dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,0.0,0.0,0.0,-0.12346529570567238,0.0,0.31776988187781857,1.9,0.0,0.12346529570567238,2024-01-01
2,0.0,0.0,0.0,-0.05762456023388821,0.0,0.44848479465423247,1.9,0.0,0.05762456023388821,2024-01-02
3,0.0,0.0,0.0,0.009540084949441797,0.0,0.5810491891982109,1.9,0.0,-0.009540084949441797,2024-01-03
4,0.0,0.0,0.0,0.07809983601612473,0.0,0.7155875497453353,1.9,0.0,-0.07809983601612473,2024-01-04
5,0.0,0.0,0.0,0.1480939466074868,0.03999999999999986,0.8521658803925485,1.9,0.0,-0.1480939466074868,2024-01-05
6,0.0,0.0,0.0,0.21953577863276968,0.1,0.9907955702780213,1.9,0.0,-0.21953577863276968,2024-01-06
7,0.0,0.0,0.0,0.29242127005530255,0.1,1.131454319633172,1.9,0.0,-0.29242127005530255,2024-01-07
8,0.0,0.0,0.0,0.3667385904423293,0.13999999999999987,1.274108920230236,1.9,0.0,-0.3667385904423293,2024-01-08
9,0.0,0.0,0.0,0.44247653543708354,0.2,1.4187389882935413,1.9,0.0,-0.44247653543708354,2024-01-09
10,0.0,0.0,0.060000000000000143,0.5196284674967647,0.2,1.5653647994686453,2.4,0.0,-0.5196284674967647,2024-01-10
11,0.0,0.0,0.060000000000000143,0.5981954961517738,0.2,1.714062336300389,5.9,0.0,-0.5981954961517738,2024-01-11
12,0.0,0.0,0.060000000000000143,0.678176169038448,0.2,1.864896417134468,5.9,0.0,-0.678176169038448,2024-01-12
13,0.0,0.0,0.1,0.759570427976275,0.2,2.017918838396877,5.9,0.0,-0.759570427976275,2024-01-13
14,0.0,0.0,0.1,0.8426514654305577,0.23999999999999988,2.1735802960123403,5.9,0.0,-0.8426514654305577,2024-01-14
15,0.0,0.0,0.30000000000000004,0.9294528014965395,0.5399999999999998,2.3350159096300436,6.1,0.0,-0.9294528014965395,2024-01-15
16,0.0,0.0,0.30000000000000004,1.049208133404571,0.5399999999999998,2.55225168782757,6.1,0.0,-1.049208133404571,2024-01-16
17,0.0,0.0,0.4,1.1744409639755715,0.7399999999999998,2.779866369057654,6.1,0.0,-1.1744409639755715,2024-01-17
