dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,21.9,23.073110572669627,24.96,24.984310193760177,25.68,26.842898325838586,27.5,24.2,-0.7843101937601773,2024-01-01
2,22.5,23.07651143996058,24.560000000000002,25.014809101408574,25.7,26.919036629061342,27.7,25.2,0.18519089859142568,2024-01-02
3,22.8,23.079863253315967,25.0,25.045574680862906,25.48,26.99497943611871,27.0,26.2,1.1544253191370935,2024-01-03
4,22.5,23.083267209466527,24.8,25.076577852347757,25.54,27.07058135207473,27.1,27.6,2.5234221476522443,2024-01-04
5,22.7,23.0868189918814,24.560000000000002,25.10777010018597,25.4,27.145740409891207,27.8,25.0,-0.10777010018597011,2024-01-05
6,21.7,23.09057655673206,24.7,25.13908063027652,25.34,27.220415243840442,27.2,25.1,-0.0390806302765192,2024-01-06
7,23.4,23.09455951793291,24.560000000000002,25.170427196101997,25.34,27.29458852368138,27.7,25.6,0.42957280389800445,2024-01-07
8,22.4,23.098751914884858,24.46,25.2017396957097,25.46,27.368279671900055,28.0,26.5,1.2982603042902987,2024-01-08
9,22.2,23.103059355407535,24.720000000000002,25.23294761038461,25.4,27.441505258644,27.7,28.6,3.3670523896153917,2024-01-09
10,22.4,23.107350921801117,24.76,25.264001422548947,25.4,27.51430670984422,28.4,27.2,1.935998577451052,2024-01-10
11,23.6,23.111496164117515,25.0,25.29489702021437,25.5,27.58675503306733,27.5,26.1,0.8051029797856302,2024-01-11
12,22.6,23.11527044784649,25.2,25.325705732749043,25.86,27.65897078731096,28.2,26.9,1.5742942672509557,2024-01-12
13,22.5,23.118199394854955,25.02,25.356577468994708,25.34,27.731207721251895,28.6,26.3,0.943422531005293,2024-01-13
14,22.1,23.119543925628534,25.2,25.387851039762936,25.54,27.803862114035855,28.4,25.9,0.512148960237063,2024-01-14
15,22.3,23.11835970331239,24.8,25.420460807881437,25.82,27.877087196947986,28.3,26.5,1.0795391921185633,2024-01-15
16,23.1,23.11926102711754,25.2,25.454083676060208,25.74,27.944932147809904,28.3,26.7,1.2459163239397917,2024-01-16
17,23.2,23.12282873294594,24.8,25.487145178723658,25.72,28.009710632746398,28.9,28.3,2.8128548212763427,2024-01-17
18,22.4,23.129970773991378,24.76,25.518788159848953,25.599999999999998,28.068225258715305,28.8,28.6,3.081211840151049,2024-01-18
19,22.7,23.140124676352123,25.400000000000002,25.548401374271236,26.04,28.117836564934905,28.5,29.0,3.4515986257287636,2024-01-19
20,23.0,23.152425523146206,25.220000000000002,25.575497081168493,25.98,28.157087455063166,28.4,28.6,3.0245029188315087,2024-01-20
21,23.0,23.16625769361779,25.220000000000002,25.59953229041154,26.439999999999998,28.185536467468477,29.0,28.5,2.9004677095884617,2024-01-21
22,22.0,23.180562980751198,24.86,25.620153538962644,25.72,28.203928757557964,28.6,27.8,2.179846461037357,2024-01-22
23,22.2,23.194050918678034,24.96,25.63723084252973,25.52,28.213354426142725,28.8,28.7,3.062769157470271,2024-01-23
24,22.1,23.206941428739864,25.26,25.651499076572314,25.76,28.215877233898553,29.1,27.7,2.048500923427685,2024-01-24
25,22.7,23.219868383988196,24.9,25.664608806359226,26.2,28.21544395874516,29.7,28.1,2.4353911936407755,2024-01-25
26,22.3,23.232610503601702,25.54,25.67846923235289,26.48,28.217157134090723,29.7,27.8,2.121530767647112,2024-01-26
27,22.9,23.244256875505503,25.78,25.694454846344,26.34,28.225083829489908,30.6,27.4,1.7055451536559971,2024-01-27
28,22.9,23.255195708708108,25.42,25.713349114339607,26.04,28.24134331293514,29.2,27.8,2.0866508856603936,2024-01-28
29,22.4,23.265572579692,24.86,25.735255132415094,26.06,28.26557808457406,29.7,28.2,2.464744867584905,2024-01-29
30,23.0,23.275054005213445,24.9,25.75949472142536,25.92,28.29497225396036,29.6,27.5,1.7405052785746413,2024-01-30
31,23.1,23.283332688456767,25.4,25.785501288971638,25.939999999999998,28.325598961868206,29.2,26.7,0.9144987110283616,2024-01-31
32,21.8,23.290117433559615,25.1,25.812892167775075,25.88,28.354902636038723,28.2,27.5,1.6871078322249247,2024-02-01
33,23.0,23.29556548124125,24.92,25.84181739179244,25.8,28.38303767710625,28.0,26.2,0.3581826082075601,2024-02-02
34,23.0,23.30069743551201,25.46,25.872508785846566,25.779999999999998,28.411361959993997,29.9,27.6,1.727491214153435,2024-02-03
35,22.7,23.305974858652043,25.1,25.90477216917578,26.1,28.442227093479023,27.7,26.5,0.5952278308242214,2024-02-04
36,22.8,23.31202066367674,25.26,25.93869289555351,26.26,28.477430972031588,28.7,30.3,4.361307104446492,2024-02-05
37,22.4,23.320408125100972,25.060000000000002,25.974810682338692,26.5,28.519069232831068,29.4,28.8,2.8251893176613088,2024-02-06
38,22.8,23.333447650410893,25.7,26.014678675376768,26.4,28.57009557114894,29.9,26.5,0.4853213246232322,2024-02-07
39,21.8,23.352832783535842,25.62,26.060082867188957,26.64,28.632467644382547,29.5,22.0,-4.060082867188957,2024-02-08
40,21.8,23.3789961395202,26.0,26.111546881628573,26.6,28.705201965680292,29.6,20.3,-5.811546881628573,2024-02-09
41,22.3,23.411470762981192,26.060000000000002,26.168032577960236,26.82,28.78589453344587,29.8,25.6,-0.5680325779602349,2024-02-10
42,20.9,23.448428427943195,26.060000000000002,26.227009705808303,27.08,28.872125468323397,29.1,26.3,0.07299029419169756,2024-02-11
43,21.5,23.487946409881697,25.66,26.285205120788156,26.74,28.960015661208814,29.2,27.1,0.8147948792118456,2024-02-12
44,22.2,23.528128093093287,26.26,26.3400627193887,26.939999999999998,29.044693943579645,29.7,28.2,1.8599372806112981,2024-02-13
45,22.8,23.568304607855012,25.86,26.390645125751895,26.54,29.121584857097965,30.9,28.0,1.6093548742481047,2024-02-14
46,22.3,23.60923251794104,25.92,26.437627713913443,26.58,29.188585365665872,29.8,29.6,3.1623722860865584,2024-02-15
47,22.6,23.652619165394185,25.9,26.482329344210395,27.0,29.245935659808907,29.6,30.2,3.717670655789604,2024-02-16
48,23.1,23.700263584253808,26.66,26.525688972319962,27.52,29.294955223398187,30.7,29.9,3.3743110276800365,2024-02-17
49,23.7,23.7535104990142,26.62,26.568064589610128,27.54,29.3374487078909,29.6,30.7,4.131935410389872,2024-02-18
50,24.0,23.812872929779278,26.36,26.60964247149857,27.0,29.375290806094778,30.3,29.4,2.7903575285014277,2024-02-19
51,24.2,23.87744515049705,26.6,26.65067329917456,27.4,29.410619055087338,30.2,28.0,1.34932670082544,2024-02-20
52,24.5,23.945941254431755,26.48,26.691584405947836,27.24,29.445123067970794,30.3,24.9,-1.7915844059478374,2024-02-21
53,23.6,24.01677361144515,26.52,26.732878861336903,27.04,29.480262254275843,31.4,25.1,-1.632878861336902,2024-02-22
54,22.9,24.088022697192304,26.66,26.774553970507974,27.8,29.516196171874594,30.4,24.7,-2.0745539705079743,2024-02-23
55,23.4,24.156498333732653,26.02,26.815785420896866,27.279999999999998,29.551741740871606,29.5,26.5,-0.3157854208968658,2024-02-24
56,21.5,24.219162558133622,26.42,26.85549432801737,27.439999999999998,29.585263316641562,29.4,25.6,-1.2554943280173703,2024-02-25
57,23.2,24.273435546327956,26.46,26.89266142524444,26.84,29.615894519673056,30.4,25.9,-0.9926614252444423,2024-02-26
58,23.6,24.318644038845893,26.36,26.927298598090857,27.1,29.64416983384933,29.7,25.1,-1.8272985980908558,2024-02-27
59,23.8,24.356197847558654,26.26,26.96069587216252,27.42,29.671317368968353,30.9,25.1,-1.8606958721625197,2024-02-28
60,24.8,24.388313951243596,27.0,26.99463742768154,27.34,29.698877062398218,30.0,24.2,-2.7946374276815398,2024-03-01
61,23.3,24.417390732257005,26.7,27.030714046186173,27.52,29.72800203917167,31.1,23.8,-3.230714046186172,2024-03-02
62,21.2,24.44567021221126,26.5,27.069280978983773,27.5,29.760123774973945,30.2,24.6,-2.4692809789837717,2024-03-03
63,22.7,24.47532146939781,26.74,27.109549606302846,27.42,29.796869365127677,30.3,26.0,-1.1095496063028456,2024-03-04
64,23.1,24.50710447805628,26.82,27.15038937559729,27.3,29.83955077427944,30.3,27.3,0.14961062440271178,2024-03-05
65,22.2,24.54023720653123,26.9,27.190930768247615,27.58,29.88905155026167,29.8,28.5,1.3090692317523853,2024-03-06
66,22.3,24.573585645134784,26.720000000000002,27.231184358291944,27.34,29.94515159326948,30.6,29.7,2.468815641708055,2024-03-07
67,23.3,24.605239838621777,26.66,27.271466798211115,27.36,30.00721962415066,30.1,30.3,3.0285332017888855,2024-03-08
68,23.8,24.63281053217813,26.86,27.311955121201056,27.58,30.074131139242365,31.0,28.9,1.588044878798943,2024-03-09
69,23.3,24.654910987010734,27.04,27.35276903965566,27.58,30.144701261743535,31.6,29.9,2.54723096034434,2024-03-10
70,24.2,24.67180072222972,27.560000000000002,27.39421926644078,28.08,30.217641965232318,31.2,29.0,1.6057807335592216,2024-03-11
71,22.1,24.6850225065572,27.48,27.436742651227018,28.24,30.29161503715877,30.1,28.9,1.4632573487729807,2024-03-12
72,23.4,24.696297022562568,27.560000000000002,27.480039606839046,27.98,30.36464593646215,30.3,29.0,1.5199603931609538,2024-03-13
73,24.1,24.706677278318715,27.14,27.523255318388834,28.04,30.43486587676403,31.4,28.8,1.2767446816111665,2024-03-14
74,23.9,24.71579026625192,26.9,27.565094138788236,27.7,30.500807237518337,31.2,29.4,1.8349058612117624,2024-03-15
75,24.0,24.722364885237017,27.220000000000002,27.60413728812062,27.74,30.562274973289565,31.7,28.5,0.8958627118793814,2024-03-16
76,24.6,24.726303568056395,26.4,27.639855893913673,27.22,30.62030226744067,31.9,29.9,2.260144106086326,2024-03-17
77,23.8,24.729117709411703,26.8,27.672706192579252,28.1,30.675743730740884,30.9,31.8,4.127293807420749,2024-03-18
