dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,18.5,19.30821313560752,24.360000000000003,23.999795266612796,26.14,27.700053926967673,27.8,26.3,2.300204733387204,2024-01-01
2,13.6,19.318915472151453,24.2,24.00427049675135,25.64,27.712733355137576,27.8,26.7,2.69572950324865,2024-01-02
3,14.7,19.33013274738201,24.62,24.01036565877182,25.24,27.725702502992593,28.8,27.6,3.58963434122818,2024-01-03
4,18.4,19.342254810833957,22.68,24.018134247862566,24.24,27.73912068043456,28.6,26.5,2.481865752137434,2024-01-04
5,12.0,19.355611284202222,23.0,24.027585685477504,24.12,27.753196682741414,27.9,28.5,4.472414314522496,2024-01-05
6,20.3,19.370531302304087,24.36,24.03881265197263,24.939999999999998,27.768174708345537,29.0,27.5,3.4611873480273694,2024-01-06
7,14.2,19.387228043085067,25.5,24.05199391766524,26.16,27.784374263358117,28.7,27.8,3.7480060823347614,2024-01-07
8,16.9,19.405663359900018,24.2,24.06724095949913,25.64,27.802084110072528,29.2,29.9,5.832759040500868,2024-01-08
9,16.7,19.425524418762613,24.82,24.084573763516563,26.0,27.821492290264466,29.0,29.1,5.015426236483439,2024-01-09
10,18.8,19.446391711568147,23.5,24.103857369441098,24.92,27.842666542583142,27.9,28.0,3.896142630558902,2024-01-10
11,12.4,19.467814646679166,23.04,24.124748755831035,24.939999999999998,27.865474945660864,29.8,30.6,6.475251244168966,2024-01-11
12,17.9,19.488953823574725,23.12,24.14668058012381,24.92,27.889578242701027,30.2,33.2,9.053319419876193,2024-01-12
13,15.4,19.50835889723678,24.16,24.168876665200177,25.18,27.91410042353572,28.5,29.1,4.931123334799825,2024-01-13
14,19.0,19.52360345145467,23.0,24.190694525475475,24.54,27.937331149049395,28.0,29.6,5.409305474524526,2024-01-14
15,19.1,19.53102962824569,23.1,24.21382977110484,23.84,27.95629597464723,27.1,30.2,5.986170228895158,2024-01-15
16,15.4,19.551694863583048,23.48,24.265921404171337,24.88,27.99079332543606,28.0,28.4,4.134078595828662,2024-01-16
17,14.9,19.572709086173866,23.38,24.32310365011452,24.58,28.025037835277416,29.0,26.3,1.9768963498854824,2024-01-17
18,16.5,19.600404148693524,24.76,24.385647094005474,25.34,28.060293515661247,29.4,29.4,5.014352905994524,2024-01-18
19,18.3,19.63972125286204,24.0,24.454517580312604,26.08,28.09914115566783,30.5,30.3,5.8454824196873965,2024-01-19
20,19.2,19.693538304933615,24.48,24.531587324398433,25.639999999999997,28.14501159237809,28.9,25.1,0.5684126756015679,2024-01-20
