dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,10.2,11.345867806169725,13.1,13.218627284942785,13.639999999999999,14.903534895228171,15.0,14.7,1.4813727150572138,2024-01-01
2,11.2,11.414713439003753,13.16,13.264068069754737,13.44,14.936174936599095,16.1,15.0,1.735931930245263,2024-01-02
3,11.3,11.483923906983343,12.96,13.309515509311039,13.4,14.969085240565512,15.4,14.5,1.1904844906889611,2024-01-03
4,11.5,11.553378956814273,13.16,13.354920916973677,13.6,15.002243557661012,15.0,14.5,1.1450790830263227,2024-01-04
5,10.9,11.622952543119935,13.14,13.400237528656493,13.94,15.035581123278988,14.8,15.5,2.0997624713435066,2024-01-05
6,10.3,11.692524121263709,13.06,13.445436083317244,13.74,15.069070999534867,15.8,15.1,1.654563916682756,2024-01-06
7,11.0,11.761990368747519,13.26,13.490499169118685,13.84,15.1027414025616,16.3,14.6,1.1095008308813146,2024-01-07
8,11.1,11.831299814668293,13.16,13.535426679834623,13.7,15.136613725528791,15.4,13.9,0.3645733201653769,2024-01-08
9,10.8,11.90046237143164,13.32,13.580232846414464,13.98,15.170670994022988,15.9,14.0,0.4197671535855356,2024-01-09
10,11.6,11.969512241637325,13.6,13.624952313008466,13.84,15.20490260942161,16.2,14.6,0.9750476869915339,2024-01-10
11,10.9,12.038535815553463,13.42,13.669642638636411,13.8,15.239287376480748,16.1,15.0,1.330357361363589,2024-01-11
12,11.3,12.107674224269664,13.360000000000001,13.714383651997368,14.04,15.27380782528201,15.6,15.0,1.2856163480026321,2024-01-12
13,11.9,12.177210510793682,13.780000000000001,13.759299741714706,14.2,15.308465903624294,16.1,15.2,1.4407002582852932,2024-01-13
14,11.9,12.247761411152442,13.48,13.804613578668631,14.2,15.343395574822585,16.9,16.3,2.4953864213313697,2024-01-14
15,12.6,12.32056945095882,13.66,13.850654211614264,14.2,15.379141890294655,17.9,16.0,2.1493457883857356,2024-01-15
16,11.7,12.384379939571595,13.92,13.894008403411965,14.24,15.414623767305706,16.0,15.2,1.3059915965880347,2024-01-16
17,11.9,12.443991662155645,13.52,13.936154108316801,14.44,15.450390951965463,15.7,15.2,1.2638458916831983,2024-01-17
18,12.1,12.49850817730469,13.66,13.976539876360446,14.5,15.487249859790133,16.0,16.2,2.223460123639553,2024-01-18
19,12.0,12.547338869963593,13.4,14.014726987453766,13.94,15.526021524000278,15.9,15.8,1.7852730125462344,2024-01-19
20,11.3,12.590403877024645,13.66,14.050440151627368,14.1,15.567718152666012,16.0,15.1,1.0495598483726312,2024-01-20
21,12.4,12.62814692665104,13.76,14.08357849884322,14.34,15.61263112491847,15.9,14.7,0.6164215011567791,2024-01-21
22,12.8,12.661061582212911,13.82,14.114373713715624,14.74,15.659754424179207,16.0,14.2,0.0856262862843753,2024-01-22
23,11.7,12.689164930500288,14.1,14.143268392250077,14.74,15.707387436014539,16.1,15.2,1.0567316077499225,2024-01-23
24,12.3,12.712357525219238,13.96,14.17073491062804,14.54,15.7541193735213,16.2,15.7,1.5292650893719593,2024-01-24
25,12.5,12.731297572738159,13.9,14.19726867725026,14.4,15.798827065372963,16.2,16.6,2.402731322749741,2024-01-25
26,11.4,12.746487990385523,14.06,14.223280098252554,14.54,15.84094137877162,16.6,17.5,3.2767199017474464,2024-01-26
27,12.3,12.7587519250097,13.860000000000001,14.249064069387412,14.639999999999999,15.881003389809859,16.3,17.0,2.750935930612588,2024-01-27
28,12.7,12.76944140312583,14.16,14.274910913363707,14.639999999999999,15.920105478103286,16.4,16.2,1.9250890866362926,2024-01-28
29,12.9,12.780098744709012,13.98,14.301044837786712,14.319999999999999,15.959021420168705,16.9,15.7,1.3989551622132872,2024-01-29
30,12.3,12.791201954405803,13.96,14.327338955322444,14.319999999999999,15.997822093142165,16.6,15.8,1.4726610446775563,2024-01-30
31,10.9,12.802138749155523,13.92,14.353480741025406,14.68,16.03691438969532,16.7,15.2,0.8465192589745936,2024-01-31
32,10.9,12.811642193602012,14.0,14.379074606954843,14.639999999999999,16.076774250869416,16.8,15.3,0.9209253930451577,2024-02-01
33,12.0,12.81914650810097,13.96,14.403664005417266,14.6,16.117587914254912,16.8,15.8,1.396335994582735,2024-02-02
34,11.7,12.824997574748775,14.0,14.427079239159703,14.54,16.15976516419755,17.0,15.1,0.672920760840297,2024-02-03
35,11.1,12.830692304995043,14.5,14.449771932229716,14.7,16.20352514251656,16.7,14.8,0.3502280677702849,2024-02-04
36,11.8,12.83813398010471,14.2,14.472222665769072,14.88,16.248083916542093,16.4,14.6,0.1277773342309274,2024-02-05
37,12.6,12.848622334199996,14.26,14.494674596790487,14.639999999999999,16.291749044925744,16.6,15.6,1.1053254032095126,2024-02-06
38,13.4,12.862954824764525,14.26,14.51718371619581,14.639999999999999,16.332704819647997,16.5,15.7,1.1828162838041898,2024-02-07
39,13.2,12.88131128580581,14.56,14.539870538664527,14.84,16.369593391890394,17.0,16.3,1.7601294613354739,2024-02-08
40,13.3,12.903548541404126,14.42,14.562965473420947,14.959999999999999,16.401826488800502,17.4,16.5,1.937034526579053,2024-02-09
41,12.4,12.930283049538248,14.42,14.587007421629833,15.34,16.43037627458211,18.0,15.9,1.3129925783701673,2024-02-10
42,12.4,12.962733025709776,14.62,14.612615931999423,15.04,16.4572912196192,16.8,15.6,0.9873840680005763,2024-02-11
43,12.5,13.000838695044337,14.46,14.64017471750244,14.84,16.484911435327344,16.1,15.2,0.5598252824975596,2024-02-12
44,12.0,13.042696119955801,14.360000000000001,14.66945581602462,15.24,16.514989284265976,16.6,15.6,0.9305441839753801,2024-02-13
45,12.5,13.08601595398119,14.42,14.699926152045645,15.24,16.54843567667416,16.8,15.4,0.7000738479543553,2024-02-14
46,12.7,13.129645716184754,14.16,14.731182936531699,14.719999999999999,16.58566586331646,17.2,15.5,0.7688170634683011,2024-02-15
47,12.8,13.1744151366423,14.22,14.763178673777059,14.8,16.626491035813153,17.4,15.3,0.5368213262229418,2024-02-16
48,13.0,13.22146586249732,14.26,14.796131102533616,14.94,16.669506951343116,18.0,15.3,0.5038688974663845,2024-02-17
49,11.9,13.271554545932727,14.4,14.83026751634088,14.74,16.7123511968189,16.9,15.7,0.8697324836591189,2024-02-18
