dayofyear,min,p05,p40,mean,p60,p95,max,2024,2024_diff,date
1,-18.1,-10.806478996097685,-0.19999999999999857,-1.2560913918040801,1.9599999999999989,6.319973645487132,6.8,5.2,6.4560913918040805,2024-01-01
2,-12.5,-10.846559120491627,-0.8399999999999999,-1.3018988574089485,1.5999999999999992,6.286350263124721,9.2,4.4,5.701898857408949,2024-01-02
3,-13.6,-10.883244208518427,-0.5399999999999991,-1.34450380696072,1.4,6.253560721317979,8.2,8.7,10.04450380696072,2024-01-03
4,-12.4,-10.916473380801426,-1.3399999999999999,-1.383807076466729,-0.1,6.221774892523472,8.3,4.1,5.483807076466729,2024-01-04
5,-14.1,-10.946479032468398,-1.2799999999999996,-1.4198384484839714,-0.16000000000000014,6.191141961407298,7.5,0.3,1.7198384484839715,2024-01-05
6,-16.1,-10.973645541477193,-0.9399999999999998,-1.4527288403286625,0.03999999999999986,6.161649300053102,10.5,-0.4,1.0527288403286623,2024-01-06
7,-15.6,-10.998139522840734,-2.78,-1.482669826645405,0.13999999999999913,6.1331463993919355,6.8,-2.8,-1.3173301733545948,2024-01-07
8,-12.0,-11.019871503471286,-2.0599999999999987,-1.5098766743297063,0.5,6.105304314537978,5.7,-7.0,-5.490123325670294,2024-01-08
9,-14.7,-11.038758515823934,-3.1199999999999988,-1.5344678071363775,0.5799999999999997,6.077756960435917,7.8,-7.9,-6.365532192863623,2024-01-09
10,-13.5,-11.054626649518765,-2.7999999999999994,-1.5563995031174713,0.11999999999999957,6.050169332599257,7.8,-6.7,-5.143600496882529,2024-01-10
11,-20.8,-11.066886076336186,-2.44,-1.5753538373402525,1.1,6.022227445314969,7.7,-3.1,-1.5246461626597476,2024-01-11
12,-16.3,-11.074253859604864,-2.7399999999999993,-1.590549051110953,1.1399999999999992,5.993592736567427,8.0,-0.7,0.8905490511109531,2024-01-12
13,-18.5,-11.074459736288343,-1.8399999999999983,-1.6003780033193926,0.25999999999999723,5.963806666489368,6.5,1.5,3.100378003319393,2024-01-13
14,-22.3,-11.063426420249277,-2.54,-1.6014222479322284,1.5399999999999991,5.932199589422799,4.9,1.7,3.301422247932228,2024-01-14
15,-15.9,-11.034307649691138,-1.8199999999999987,-1.586018368701711,1.0799999999999996,5.899583343104855,8.0,0.9,2.486018368701711,2024-01-15
16,-14.2,-10.948285929384529,-1.8199999999999996,-1.500983584606296,-0.5000000000000007,5.886119726716722,8.9,-1.2,0.30098358460629604,2024-01-16
17,-14.1,-10.833731592400955,-2.28,-1.4004675149340655,1.0799999999999996,5.8798326833400925,8.3,-2.6,-1.1995324850659346,2024-01-17
18,-12.1,-10.697709356891536,-2.979999999999999,-1.2924342357229448,0.21999999999999814,5.880771072345697,7.1,-2.6,-1.3075657642770553,2024-01-18
19,-14.1,-10.547654973094335,-3.379999999999999,-1.1815101992124744,0.6199999999999996,5.887657486326854,8.3,-1.5,-0.31848980078752565,2024-01-19
20,-15.6,-10.38698619337459,-2.2599999999999985,-1.0698318793516164,-0.3,5.897903522981621,7.2,0.6,1.6698318793516163,2024-01-20
21,-11.0,-10.211718095951174,-2.359999999999997,-0.9584562132378958,-0.3800000000000011,5.909002094028005,7.5,-1.1,-0.14154378676210433,2024-01-21
22,-9.1,-10.021911300422927,-0.03999999999999986,-0.8478595622484498,0.8799999999999998,5.919988647021543,8.2,5.5,6.34785956224845,2024-01-22
23,-7.1,-9.818287527082228,0.36000000000000015,-0.7371384467825088,1.5199999999999996,5.930748029828203,7.5,4.5,5.237138446782509,2024-01-23
24,-8.9,-9.60047269001389,0.2600000000000001,-0.6252033018077039,0.7399999999999999,5.941193528244831,6.7,7.9,8.525203301807704,2024-01-24
25,-10.6,-9.368543357610063,-0.3,-0.510203564414187,1.3399999999999999,5.952724732045159,7.6,6.5,7.010203564414187,2024-01-25
